example_below,factors,below,agg,result,result_emojis,model_input,expected,actual
10,"[3, 5]",100,sum,e,💀,input/codeparrot/multiples/0.txt,,
10,"[3, 5]",100,product,f,❌,input/codeparrot/multiples/1.txt,13656259021130871772314533494945947941803211599380480000000000000000000000,"[2, 3, 5, 6, 9]"
10,"[3, 5]",124,sum,e,💀,input/codeparrot/multiples/2.txt,,
10,"[3, 5]",124,product,f,❌,input/codeparrot/multiples/3.txt,436652093530433389227012330623523772215735571595728047000696158945280000000000000000000000000000,"[2, 3, 5, 6, 9]"
10,"[3, 5]",197,sum,e,💀,input/codeparrot/multiples/4.txt,,
10,"[3, 5]",197,product,f,❌,input/codeparrot/multiples/5.txt,260111990530269730988881425813525079820541249422522021281533759889572815768749349230470883054030436004745181180119747028582400000000000000000000000000000000000000000000000,"[2, 3, 5, 6, 9]"
10,"[3, 5]",200,sum,e,💀,input/codeparrot/multiples/6.txt,,
10,"[3, 5]",200,product,f,❌,input/codeparrot/multiples/7.txt,51502174124993406735798522311077965804467167385659360213743684458135417522212371147633234844698026328939545873663709911659315200000000000000000000000000000000000000000000000,"[2, 3, 5, 6, 9]"
10,"[3, 5]",500,sum,e,💀,input/codeparrot/multiples/8.txt,,
10,"[3, 5]",500,product,f,❌,input/codeparrot/multiples/9.txt,37573854355116906426997805141054809452471881538008277192536541472100994869987783286748881219167009255041877601618645679340350655430519269237606935975820513934908618464403273482408276605451378875017935316492608841762326846482393293189894657703531569110868097874338805834125046860253265733188261491309211107697081812302827100729137452416871307869057302224832657119668936171627520734455117244698752126508072960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[2, 3, 5, 6, 9]"
10,"[3, 5]",600,sum,e,💀,input/codeparrot/multiples/10.txt,,
10,"[3, 5]",600,product,f,❌,input/codeparrot/multiples/11.txt,19475439662299527946856895868502796674477180367467103393547873546694892822840641270431093557474378112230074023623198619179098716088956020251721588669776520859086548374974288025947097446110153824780303014041676720750364120442370895513359809024718374978736658845087001389047308888153178787129519858070867293089600531851156048147529730147845462056975365502468535899323475151455568831455142982611510478503410300977329232938893347205590106898802546139373701512396027297917269443724082277487384487328939327819979161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[2, 3, 5, 6, 9]"
10,"[3, 5]",1000,sum,e,💀,input/codeparrot/multiples/12.txt,,
