ret_index,cmp_index,cmp,func_name,input,expected,actual,result,result_emojis,model_input
first,first,smallest,extract_value,"[[(16, 53, 88, 23, 92, 40, 52, 29, 78, 9, 45, 25)]]",16,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(19, 51, 4, 41, 12, 61, 91, 63, 31, 49, 75, 94), (12, 78, 68, 35, 49, 28, 67, 90, 81, 93, 71, 95)]]",12,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(9, 7, 88, 84, 12, 26, 22, 57, 17, 82, 36, 91), (6, 34, 18, 89, 63, 88, 36, 33, 40, 35, 93, 99), (3, 32, 94, 59, 73, 61, 41, 24, 95, 11, 96, 35)]]",3,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(62, 6, 21, 72, 0, 84, 12, 28, 52, 61, 15, 0), (53, 29, 93, 73, 21, 24, 32, 15, 66, 26, 49, 11), (49, 50, 32, 17, 95, 36, 48, 70, 17, 5, 2, 41), (32, 93, 55, 84, 40, 15, 78, 30, 86, 35, 49, 48)]]",32,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(11, 28, 19, 78, 80, 77, 65, 32, 36, 5, 56, 35), (31, 100, 49, 78, 62, 92, 53, 28, 82, 41, 55, 100), (86, 51, 90, 83, 87, 41, 29, 42, 12, 79, 22, 19), (10, 86, 82, 17, 85, 78, 65, 83, 51, 14, 34, 36), (86, 58, 27, 43, 46, 48, 71, 77, 91, 99, 60, 23)]]",10,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(24, 15, 50, 69, 56, 74, 50, 48, 86, 93, 15, 23), (80, 85, 56, 14, 83, 46, 49, 62, 14, 95, 94, 5), (14, 89, 18, 50, 5, 77, 51, 77, 34, 13, 86, 8), (63, 71, 38, 93, 97, 34, 42, 72, 55, 14, 80, 2), (73, 6, 72, 68, 98, 66, 98, 28, 63, 28, 40, 45), (22, 56, 70, 73, 3, 44, 56, 64, 5, 20, 71, 92)]]",14,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(64, 3, 84, 41, 21, 34, 48, 3, 1, 39, 10, 96), (2, 49, 87, 36, 87, 55, 62, 17, 72, 17, 81, 90), (62, 26, 51, 76, 1, 71, 68, 44, 99, 80, 74, 84), (4, 0, 62, 46, 95, 86, 72, 53, 65, 53, 6, 82), (70, 50, 98, 57, 8, 36, 28, 75, 44, 58, 93, 100), (100, 23, 25, 10, 18, 53, 1, 76, 78, 72, 60, 40), (45, 45, 62, 46, 4, 10, 14, 0, 51, 96, 56, 47)]]",2,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(99, 82, 41, 85, 59, 86, 45, 37, 52, 8, 58, 4), (29, 12, 35, 85, 33, 5, 3, 59, 66, 19, 87, 75), (69, 72, 35, 17, 81, 5, 72, 52, 65, 57, 49, 22), (36, 38, 57, 2, 71, 50, 49, 94, 80, 29, 21, 84), (46, 0, 19, 43, 21, 85, 29, 72, 32, 77, 46, 24), (76, 37, 13, 9, 46, 73, 70, 98, 53, 15, 38, 50), (57, 67, 91, 24, 68, 13, 58, 17, 64, 78, 83, 82), (22, 56, 10, 72, 81, 45, 94, 83, 75, 38, 38, 71)]]",22,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,extract_value,"[[(50, 19, 77, 100, 82, 96, 27, 35, 66, 47, 12, 47), (62, 22, 61, 56, 94, 28, 73, 28, 96, 57, 13, 24), (87, 82, 92, 82, 73, 25, 12, 68, 25, 7, 61, 52), (87, 68, 39, 14, 3, 79, 68, 30, 82, 1, 86, 17), (84, 49, 49, 97, 80, 56, 79, 56, 35, 14, 44, 78), (38, 92, 96, 51, 86, 45, 79, 67, 21, 91, 78, 79), (4, 30, 47, 56, 25, 3, 61, 39, 69, 33, 97, 37), (29, 88, 71, 81, 28, 8, 71, 69, 15, 95, 33, 14), (49, 39, 80, 49, 59, 98, 80, 61, 16, 11, 47, 33)]]",4,None,f,❌,input/codeparrot/tuple_list/0.txt
first,first,smallest,tuple_extract,"[[(16, 53, 88, 23, 92, 40, 52, 29, 78, 9, 45, 25)]]",16,None,f,❌,input/codeparrot/tuple_list/1.txt
